"id","address","city","state","zip","retailer_id","lat","long"
73174,"5418 Federal Blvd.","Denver","CO",80221,35,39.7955,-105.024
146618,"5405 WADSWORTH BYPASS","ARVADA","CO",80002,80,39.7956,-105.078
200996,"5601 S. Quebec St.,","Commerce Ciity","CO",80022,106,39.7991,-104.904
202396,"5790 Clarkson St","Denver","CO",80216,106,39.8017,-104.976
56312,"5785 WARD RD","ARVADA","CO",80002,28,39.8018,-105.138
191717,"9584 W 58th Ave","Arvada","CO",80002,106,39.8018,-105.104
11531,"9731 W 58th Ave","Arvada","CO",80002,1,39.802,-105.107
27682,"9517 Ralston Rd.","Arvada","CO",80002,2,39.802,-105.104
24688,"9365 W 58th Ave","Arvada","CO",80002,35,39.8021,-105.102
50088,"7355 RALSTON RD UNIT R100 (WADSWORTH)","ARVADA","CO",80002,28,39.8023,-105.077
34095,"5990 Dahlia St","Commerce City","CO",80022,4,39.8046,-104.929
183319,"5988 Dahlia St.","Commerce City","CO",80022,104,39.8046,-104.931
38503,"6011 DEXTER ST","Commerce City","CO",80022,5,39.8064,-104.933
192513,"6075 E Parkway Dr","Commerce City","CO",80022,106,39.8074,-104.929
15961,"4850 E 62nd Ave","Commerce City","CO",80022,1,39.8086,-104.93
4820,"15200 W 64th Ave","Arvada","CO",80007,1,39.811,-105.172
179085,"6350 SHERIDAN BLVD #114","ARVADA","CO",80003,83,39.8111,-105.052
11169,"6350 Sheridan Blvd","Arvada","CO",80003,1,39.8111,-105.052
222262,"6350 SHERIDAN AVE","ARVADA","CO",80003,109,39.8117,-105.053
12819,"12350 W 64th Ave","Arvada","CO",80004,1,39.8117,-105.137
37874,"6390 McIntyre  Pkwy","Arvada","CO",80403,5,39.8118,-105.169
199951,"15300 W 64th Ave","Arvada","CO",80007,106,39.812,-105.17
35801,"6395 SHERIDAN BLVD","Arvada","CO",80003,5,39.8123,-105.054
189073,"12304 W 64th Ave","Arvada","CO",80004,106,39.8123,-105.136
223193,"12326 WEST 64TH AVE","ARVADA","CO",80004,109,39.8126,-105.137
225849,"14575 West 64th Avenue","Arvada","CO",80004,105,39.8126,-105.162
183645,"12550 West 64th Ave.","Arvada","CO",80004,104,39.8126,-105.139
33144,"12680 W. 64th Avenue","Arvada","CO",80004,2,39.8127,-105.14
35938,"11602 W 64TH AVE","Arvada","CO",80004,5,39.8127,-105.128
54058,"650 E. 64TH AVE","DENVER","CO",80229,28,39.8127,-104.979
70345,"5187 W 64th Ave","Arvada","CO",80003,35,39.8128,-105.053
190015,"6406 Wadsworth Blvd","Arvada","CO",80003,106,39.8131,-105.081
73497,"5947 E 64th Ave","Commerce City","CO",80022,35,39.8132,-104.919
52526,"6490 WARD RD","ARVADA","CO",80004,28,39.8135,-105.138
